participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.participant_label,player.lottery_question_1,player.lottery_question_2,player.lottery_question_3,player.lottery_question_4,player.submitted_answer_1,player.submitted_answer_2,player.submitted_answer_3,player.submitted_answer_4,player.submitted_answer_5,player.submitted_answer_6,player.submitted_answer_7,player.submitted_answer_8,player.submitted_answer_9,player.submitted_answer_10,player.submitted_answer_11,player.submitted_answer_12,player.submitted_answer_13,player.submitted_answer_14,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,w3a8r8kg,Inigo Montoya,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:04.574822+00:00,1,,,15.58,1,Inigo Montoya,1,1,Only select B for the remaining games,They are chosen at random,A,A,A,A,B,B,B,B,B,B,B,B,B,B,0.00,1,1,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
2,c67koqkh,Tyrion Lannister,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:05.325326+00:00,1,,,3.83,2,Tyrion Lannister,1,1,Only select B for the remaining games,They are chosen at random,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.00,1,1,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
3,bf0fbc5s,Naruto Uzumaki,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:06.608232+00:00,1,,,0.00,3,Naruto Uzumaki,1,1,Only select B for the remaining games,They are chosen at random,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.00,1,1,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
4,7gzlc0kv,Joel Dunstan,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:07.359810+00:00,1,,,-12.10,4,Joel Dunstan,1,1,Only select B for the remaining games,They are chosen at random,A,A,A,A,A,A,B,B,B,B,B,B,B,B,0.00,1,1,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
1,w3a8r8kg,Inigo Montoya,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:04.574822+00:00,1,,,15.58,1,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.00,1,2,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
2,c67koqkh,Tyrion Lannister,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:05.325326+00:00,1,,,3.83,2,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.00,1,2,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
3,bf0fbc5s,Naruto Uzumaki,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:06.608232+00:00,1,,,0.00,3,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.00,1,2,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
4,7gzlc0kv,Joel Dunstan,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:07.359810+00:00,1,,,-12.10,4,,,,,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0.00,1,2,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
1,w3a8r8kg,Inigo Montoya,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:04.574822+00:00,1,,,15.58,1,,,,,,A,A,A,A,A,A,A,,,,,,,,-8.00,1,3,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
2,c67koqkh,Tyrion Lannister,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:05.325326+00:00,1,,,3.83,2,,,,,,B,B,B,B,B,B,B,,,,,,,,-16.00,1,3,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
3,bf0fbc5s,Naruto Uzumaki,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:06.608232+00:00,1,,,0.00,3,,,,,,B,B,B,B,B,B,B,,,,,,,,-16.00,1,3,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
4,7gzlc0kv,Joel Dunstan,0,369,369,Results,1,ResultsSummary,127.0.0.1,2018-02-07 11:13:07.359810+00:00,1,,,-12.10,4,,,,,,B,B,B,B,B,B,B,,,,,,,,-16.00,1,3,u841c3dk,For Administration Instructions - Do not delete,Joel Dunstan,,,Do not delete.,0
